section,description,case_study
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,A case under Section 498A was registered against Manish Paul in Indore. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,The High Court upheld the life sentence of Vijay Yadav for committing murder under Section 302. The victim Kiran was brutally beaten to death in Nagpur over an ancestral family feud on 23rd March 2024.
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The accused Karan Johar misrepresented himself as a registered financial broker and collected Rs. 800,000 from the victim Abhishek in Bhopal. He generated fake investment certificates and siphoned the entire capital."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","On the night of 10th October 2023, the accused Vijay Yadav engaged in a heated argument with the victim Harish over a property boundary in Nagpur. The accused subsequently went inside, fetched a revolver, and inflicted multiple blows on the victim's head, causing instant death."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","On 15th August 2024, the police raided a hideout in Surat and arrested four gang members, including Ramesh Sen. Stolen jewelry worth Rs. 250,000 was recovered. The gang had been habitually committing house thefts in the region."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,"In Nagpur, the accused Harish Iyer entered the victim Maya's residence when she was alone on 18th May 2025 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,A case under Section 498A was registered against Rajesh Kumar in Bengaluru. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,State vs Umesh Chandra: The accused was indicted under Section 302 for the murder of Divya in Amritsar. Eyewitness testimonies and the recovery of the axe at the instance of the accused established guilt beyond reasonable doubt.
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The accused Ramesh Sen misrepresented himself as a registered financial broker and collected Rs. 150,000 from the victim Pooja in Ahmedabad. He generated fake investment certificates and siphoned the entire capital."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The accused Sunil Dutt forged ownership documents of a commercial land plot in Surat and sold it to Sameer for Rs. 1,200,000. The fraud was discovered when the victim applied for a building permit."
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"The accused Arjun Kapoor suspected his business partner Seema of embezzlement. On 30th December 2024, Arjun Kapoor lured Seema to an abandoned warehouse in Kolkata and strangled him to death. The body was later disposed of in a nearby canal."
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"On 5th November 2023, the complainant filed an FIR at the women's police station in Amritsar against Sunil Dutt (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 1,000,000 demanded by the in-laws."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,A case under Section 376 was registered against Manoj Bajpayee in Surat. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",A case under Section 376 was registered against Umesh Chandra in Lucknow. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.",A gang of habitual car thieves was apprehended in Chandigarh. The accused Amit Singh was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
